"ItemType","Id","Name","Tier","Scope","Recommended","Selected","Risk","Purpose","Categories"
"Channel","Microsoft-Windows-AppLocker/Packaged app-Execution","Microsoft-Windows-AppLocker/Packaged app-Execution","Core","All","Y","Y","","AppLocker decisions for packaged (Store) app execution.","Blocked and denied activity; Execution"
"Channel","Microsoft-Windows-CodeIntegrity/Operational","Microsoft-Windows-CodeIntegrity/Operational","Core","All","Y","Y","","Driver loads blocked by code integrity - a failed malicious driver load shows up here.","Blocked and denied activity; Software and service install"
"Channel","Microsoft-Windows-Diagnosis-Scripted/Operational","Microsoft-Windows-Diagnosis-Scripted/Operational","Core","All","Y","Y","","Diagnostic (diagcab) package execution - abused for social engineering delivery.","Scripting and command line; Execution"
"Channel","Microsoft-Windows-DriverFrameworks-UserMode/Operational","Microsoft-Windows-DriverFrameworks-UserMode/Operational","Core","All","Y","Y","","USB device plug/unplug detail. DISABLED by default so must be enabled.","Removable and external devices"
"Channel","Microsoft-Windows-WMI-Activity/Operational","Microsoft-Windows-WMI-Activity/Operational","Core","All","Y","Y","","WMI operations. WMI event subscriptions are a common fileless persistence mechanism.","Execution; Persistence; Scheduled and automated tasks"
"Channel","Microsoft-Windows-TerminalServices-LocalSessionManager/Operational","Microsoft-Windows-TerminalServices-LocalSessionManager/Operational","Core","All","Y","Y","","RDP session connect/disconnect/reconnect (21/24/25) with source address - survives Security log clearing.","Remote access"
"Channel","Microsoft-Windows-TaskScheduler/Operational","Microsoft-Windows-TaskScheduler/Operational","Core","All","Y","Y","","Task registration, updates and execution. DISABLED by default so must be enabled. Tasks are a top persistence mechanism.","Scheduled and automated tasks; Persistence"
"Channel","Microsoft-Windows-SMBServer/Audit","Microsoft-Windows-SMBServer/Audit","Core","All","Y","Y","","SMB server audit events, including Windows Server 2025 signing/encryption capability auditing (3021/3022) - identifies clients that cannot do SMB signing or encryption before you enforce it.","Remote access; Network flow and sessions"
"Channel","Microsoft-Windows-SmbClient/Audit","Microsoft-Windows-SmbClient/Audit","Core","All","Y","Y","","SMB client audit events, including Windows Server 2025 signing/encryption capability auditing (31998/31999) and NTLM-blocking diagnostics.","Remote access; Network flow and sessions"
"Channel","Microsoft-Windows-Crypto-DPAPI/Debug","Microsoft-Windows-Crypto-DPAPI/Debug","Optional","All","N","N","Debug-class channels carry a small constant tracing overhead and are not designed for always-on production use. Enable deliberately, not by default.","DPAPI key operations. Added by WELA v2.1 configure. A debug-class channel, so Optional: enable only if DPAPI theft (e.g. Mimikatz backup key export) is a monitored scenario.","Certificates and keys"
"AuditPolicy","0CCE923F-69AE-11D9-BED3-505054503030","Credential Validation","Core","All","Y","Y","","NTLM authentication results (4776). Catches password spraying and username guessing over NTLM.","Authentication"
"AuditPolicy","0CCE9242-69AE-11D9-BED3-505054503030","Kerberos Authentication Service","Core","DomainController","Y","N","","Kerberos TGT requests (4768) and pre-auth failures (4771). Only generated on domain controllers.","Authentication; Directory and identity store"
"AuditPolicy","0CCE9240-69AE-11D9-BED3-505054503030","Kerberos Service Ticket Operations","Core","DomainController","Y","N","","Service ticket requests (4769) - the Kerberoasting detection event. Only generated on domain controllers.","Authentication"
"AuditPolicy","0CCE9236-69AE-11D9-BED3-505054503030","Computer Account Management","Core","DomainController","Y","N","","Computer accounts created/changed/deleted (4741-4743). DCShadow detection uses 4742. DC only.","Account and access change; Directory and identity store"
"AuditPolicy","0CCE9238-69AE-11D9-BED3-505054503030","Distribution Group Management","Core","DomainController","Y","N","","Distribution group lifecycle. In the WELA configure baseline (not the older batch). DC only in practice.","Account and access change"
"AuditPolicy","0CCE923A-69AE-11D9-BED3-505054503030","Other Account Management Events","Core","All","Y","Y","","Password hash access (4782) and password policy API checks (4793). Rare, low volume, high signal.","Account and access change"
"AuditPolicy","0CCE9237-69AE-11D9-BED3-505054503030","Security Group Management","Core","All","Y","Y","","Group create/change/delete and membership changes (4727-4764). ""User added to local Administrators"" (4732) lives here.","Account and access change"
"AuditPolicy","0CCE9235-69AE-11D9-BED3-505054503030","User Account Management","Core","All","Y","Y","","User accounts created/enabled/changed/deleted, password resets, lockouts (4720-4767). Backdoor account detection.","Account and access change"
"AuditPolicy","0CCE9248-69AE-11D9-BED3-505054503030","Plug and Play","Core","All","Y","Y","","New external device connected (6416), device install blocked/allowed (6419-6424). USB and rogue-device tracking.","Removable and external devices"
"AuditPolicy","0CCE922B-69AE-11D9-BED3-505054503030","Process Creation","HighVolume","All","N","Y","Event volume scales with process churn; heaviest on RDS/Citrix and build servers. Disk and SIEM cost, not a stability risk.","Process creation (4688). The single highest value audit setting - roughly half of all Sigma rules need it - but HIGH VOLUME. Pair with the command line registry value below.","Execution; Scripting and command line; Persistence"
"AuditPolicy","0CCE922E-69AE-11D9-BED3-505054503030","RPC Events","Core","All","Y","Y","Usually near-silent, but Microsoft flags high volume on RPC-heavy servers (Exchange, some cluster roles). Deselect if 5712 floods.","Inbound RPC connections (5712). Rare event in practice; Microsoft warns it can be busy on heavy RPC servers.","Remote access; Network flow and sessions"
"AuditPolicy","0CCE923B-69AE-11D9-BED3-505054503030","Directory Service Access","Core","DomainController","Y","N","","AD object access (4661/4662). DCSync and DPAPI backup key theft detection. DC only; needs SACLs on AD objects for full value.","Directory and identity store"
"AuditPolicy","0CCE923C-69AE-11D9-BED3-505054503030","Directory Service Changes","Core","DomainController","Y","N","","AD object modifications with old/new values (5136-5141). AD backdoor and DCShadow detection. DC only.","Directory and identity store; Persistence"
"AuditPolicy","0CCE9217-69AE-11D9-BED3-505054503030","Account Lockout","Core","All","Y","Y","","Logons failing because the account is locked out (4625 / 0xC0000234).","Authentication; Blocked and denied activity"
"AuditPolicy","0CCE9216-69AE-11D9-BED3-505054503030","Logoff","Core","All","Y","Y","","Session end (4634/4647). Needed to bound session duration in investigations.","Authentication"
"AuditPolicy","0CCE9215-69AE-11D9-BED3-505054503030","Logon","Core","All","Y","Y","","Logon success/failure and explicit-credential logons (4624/4625/4648). Logon type field distinguishes console, network, RDP.","Authentication; Remote access"
"AuditPolicy","0CCE921C-69AE-11D9-BED3-505054503030","Other Logon/Logoff Events","Core","All","Y","Y","","RDP session reconnect/disconnect (4778/4779), workstation lock/unlock, CredSSP delegation blocks.","Authentication; Remote access"
"AuditPolicy","0CCE921B-69AE-11D9-BED3-505054503030","Special Logon","Core","All","Y","Y","","Logons holding admin-equivalent privileges (4672). Cheap way to see privileged sessions without Sensitive Privilege Use volume.","Privilege use; Authentication"
"AuditPolicy","0CCE9221-69AE-11D9-BED3-505054503030","Certification Services","Core","All","Y","Y","","AD CS activity including certificate template events (4898/4899, ESC-class template abuse). Harmless when AD CS absent - simply generates nothing.","Certificates and keys"
"AuditPolicy","0CCE9224-69AE-11D9-BED3-505054503030","File Share","Core","All","Y","Y","On dedicated file servers and DCs (SYSVOL access) this is a steady event stream. Watch log wrap time during the pilot.","Share connections (5140, ADMIN$ access), share created/modified/deleted (5142-5144). Busy on file servers and DCs.","File and object access; Remote access"
"AuditPolicy","0CCE9226-69AE-11D9-BED3-505054503030","Filtering Platform Connection","HighVolume","All","N","N","Microsoft rates this volume High. On connection-heavy servers (DCs, web, SQL) it can dominate the Security log and add measurable CPU/disk load; can wrap a 1 GB log in hours. Deploy to a pilot host first.","Per-connection allow/block from Windows Filtering Platform (5156/5157) plus listens and binds. The closest native equivalent to network flow telemetry. HIGH VOLUME.","Network flow and sessions; Blocked and denied activity"
"AuditPolicy","0CCE9227-69AE-11D9-BED3-505054503030","Other Object Access Events","Core","All","Y","Y","","Scheduled task created/deleted/enabled/disabled/updated (4698-4702) in the Security log. Low volume, high signal.","Scheduled and automated tasks; Persistence"
"AuditPolicy","0CCE9245-69AE-11D9-BED3-505054503030","Removable Storage","Core","All","Y","Y","A large file copy to USB generates an event per file access. Low on servers where USB is rare; heavy where USB drives are routine.","Every file access on removable storage (4663), no SACL needed. Volume scales with how much USB storage is actually used.","Removable and external devices; File and object access"
"AuditPolicy","0CCE9220-69AE-11D9-BED3-505054503030","SAM","Core","All","Y","Y","High event rate on domain controllers. Volume/cost concern only, not stability.","Access to local SAM objects (4661). Detects local account/group reconnaissance. Can be busy on DCs - test there first.","Directory and identity store"
"AuditPolicy","0CCE922F-69AE-11D9-BED3-505054503030","Audit Policy Change","Core","All","Y","Y","","The audit policy itself being changed (4719), SACLs changed (4715/4907), CrashOnAuditFail changed. Core anti-tamper telemetry.","Logging tampered with"
"AuditPolicy","0CCE9230-69AE-11D9-BED3-505054503030","Authentication Policy Change","Core","All","Y","Y","","Domain/forest trusts added or removed (4706/4707), Kerberos policy changes, logon rights granted (4717).","Account and access change; Authentication"
"AuditPolicy","0CCE9234-69AE-11D9-BED3-505054503030","Other Policy Change Events","Core","All","Y","Y","","WFP filter changes and CNG crypto operations. NOTE: the Yamato guide text says leave off because event 5447 is noisy, but both Yamato scripts enable it. The kit follows the scripts; drop to save volume if 5447 floods.","Network flow and sessions; Certificates and keys"
"AuditPolicy","0CCE9228-69AE-11D9-BED3-505054503030","Sensitive Privilege Use","HighVolume","All","N","N","Known to flood on hosts running backup agents and monitoring software (backup/restore privileges fire constantly). Test on one host per server role before fleet rollout.","Use of dangerous privileges - SeDebugPrivilege, SeLoadDriverPrivilege, SeTcbPrivilege (4673/4674). Detects credential dumpers and driver loading, but HIGH VOLUME.","Privilege use"
"AuditPolicy","0CCE9213-69AE-11D9-BED3-505054503030","IPsec Driver","Optional","All","N","Y","","IPsec driver packet events (4960-4963, 4965) and IPsec service start/stop and filter-processing events (5478-5480, 5483-5485). In Microsoft's baseline recommendation (and the Microsoft_Client baseline in Yamato's EventLog-Baseline-Guide) but not in the Yamato set, so Optional: enable where IPsec is actually used.","Network flow and sessions"
"AuditPolicy","0CCE9210-69AE-11D9-BED3-505054503030","Security State Change","Core","All","Y","Y","","System start/shutdown and system time changes (4616). Time tampering breaks forensic timelines.","Logging tampered with"
"AuditPolicy","0CCE9211-69AE-11D9-BED3-505054503030","Security System Extension","Core","All","Y","Y","","Service installed (4697) and authentication packages / SSPs registered with LSA (4610/4611/4622). Top-tier persistence telemetry.","Software and service install; Persistence"
"AuditPolicy","0CCE9212-69AE-11D9-BED3-505054503030","System Integrity","Core","All","Y","Y","","Audit events lost (4612), invalid image hashes (5038/6281). Integrity of the logging pipeline itself.","Logging tampered with"
"AuditPolicy","0CCE9214-69AE-11D9-BED3-505054503030","Other System Events","Core","All","Y","Y","","Firewall service start/stop and crypto key file operations. Failure-only, matching the Yamato batch (success side is noise). WELA sets Success and Failure; either satisfies the failure requirement.","Logging tampered with; Certificates and keys"
"Registry","CmdLineAudit","HKLM:\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System\Audit\ProcessCreationIncludeCmdLine_Enabled = 1","HighVolume","All","N","Y","No extra event count (enriches 4688), but a privacy/secrets consideration: credentials passed on command lines become log content.","Adds the full command line to every 4688 process creation event. Most process-based detections need it. CAUTION: command lines can contain passwords typed by admins - handle the Security log as sensitive.","Execution; Scripting and command line"
"Registry","ScriptBlock64","HKLM:\SOFTWARE\Policies\Microsoft\Windows\PowerShell\ScriptBlockLogging\EnableScriptBlockLogging = 1","HighVolume","All","N","Y","Moderate volume and small per-script overhead; generally safe fleet-wide. Large scripts fragment into 32 KB event blocks.","Logs every PowerShell script block AFTER de-obfuscation (event 4104). Obfuscated malware is logged decoded. Moderate-high volume.","Scripting and command line"
"Registry","ScriptBlock32","HKLM:\SOFTWARE\Wow6432Node\Policies\Microsoft\Windows\PowerShell\ScriptBlockLogging\EnableScriptBlockLogging = 1","HighVolume","All","N","Y","","Same as above for 32-bit PowerShell hosts (the path the Yamato batch sets).","Scripting and command line"
"Registry","ModuleLogging64","HKLM:\SOFTWARE\Policies\Microsoft\Windows\PowerShell\ModuleLogging\EnableModuleLogging = 1","HighVolume","All","N","N","The heaviest setting in the kit. Adds measurable PowerShell execution overhead and huge log volume on script-heavy servers (Exchange management, SCCM, heavy automation). Many teams take script block logging and skip this one.","Logs pipeline execution detail for PowerShell modules (event 4103), including command output. EXTREMELY high volume - a single Mimikatz run produces 2000+ events / ~7 MB.","Scripting and command line"
"Registry","ModuleLogging32","HKLM:\SOFTWARE\Wow6432Node\Policies\Microsoft\Windows\PowerShell\ModuleLogging\EnableModuleLogging = 1","HighVolume","All","N","N","","Same as above for 32-bit PowerShell hosts.","Scripting and command line"
"Registry","ModuleNames64","HKLM:\SOFTWARE\Policies\Microsoft\Windows\PowerShell\ModuleLogging\ModuleNames\* = *","HighVolume","All","N","N","","Wildcard entry meaning ""log all modules"". Without this, module logging is enabled but logs nothing.","Scripting and command line"
"Registry","ModuleNames32","HKLM:\SOFTWARE\Wow6432Node\Policies\Microsoft\Windows\PowerShell\ModuleLogging\ModuleNames\* = *","HighVolume","All","N","N","","Same as above for 32-bit PowerShell hosts.","Scripting and command line"
"Registry","Transcription64","HKLM:\SOFTWARE\Policies\Microsoft\Windows\PowerShell\Transcription\EnableTranscripting = 1","Optional","All","N","N","","Writes a text transcript of every PowerShell session to disk. Storage-cheap and survives event log clearing, but transcripts land in user Documents unless OutputDirectory is set. [Output directory to be agreed with the client.]","Scripting and command line"
"Registry","TranscriptionHeader64","HKLM:\SOFTWARE\Policies\Microsoft\Windows\PowerShell\Transcription\EnableInvocationHeader = 1","Optional","All","N","N","","Adds a timestamped header per command in transcripts, needed for timeline reconstruction.","Scripting and command line"
"Registry","Transcription32","HKLM:\SOFTWARE\Wow6432Node\Policies\Microsoft\Windows\PowerShell\Transcription\EnableTranscripting = 1","Optional","All","N","N","","Same as above for 32-bit PowerShell hosts.","Scripting and command line"
"Registry","TranscriptionHeader32","HKLM:\SOFTWARE\Wow6432Node\Policies\Microsoft\Windows\PowerShell\Transcription\EnableInvocationHeader = 1","Optional","All","N","N","","Same as above for 32-bit PowerShell hosts.","Scripting and command line"
"Registry","NtlmOutboundAudit","HKLM:\SYSTEM\CurrentControlSet\Control\Lsa\MSV1_0\RestrictSendingNTLMTraffic = 1","Core","All","Y","Y","","Audit all outgoing NTLM authentication (1 = audit, nothing blocked). Feeds the NTLM/Operational channel so NTLM retirement can be planned on evidence.","Authentication"
"Registry","NtlmInboundAudit","HKLM:\SYSTEM\CurrentControlSet\Control\Lsa\MSV1_0\AuditReceivingNTLMTraffic = 2","Core","All","Y","Y","","Audit incoming NTLM authentication for all accounts (2 = all accounts). Audit-only, nothing blocked.","Authentication"
"Registry","NtlmDomainAudit","HKLM:\SYSTEM\CurrentControlSet\Services\Netlogon\Parameters\AuditNTLMInDomain = 7","Core","DomainController","Y","N","","Audit all NTLM authentication passing through this domain controller (7 = all). Audit-only.","Authentication"
"SmbAudit","AuditClientDoesNotSupportEncryption","Server: AuditClientDoesNotSupportEncryption = True","Core","All","Y","Y","No effect on OSes before Windows Server 2025 / Windows 11 24H2 (reported NOT APPLICABLE there). Audit-only; nothing is blocked.","SMB server logs clients that cannot do SMB encryption (event 3021 in SMBServer/Audit). Windows Server 2025+ only.","Remote access; Network flow and sessions"
"SmbAudit","AuditClientDoesNotSupportSigning","Server: AuditClientDoesNotSupportSigning = True","Core","All","Y","Y","No effect on OSes before Windows Server 2025 / Windows 11 24H2 (reported NOT APPLICABLE there). Audit-only; nothing is blocked.","SMB server logs clients that cannot do SMB signing (event 3022 in SMBServer/Audit). Windows Server 2025+ only.","Remote access; Network flow and sessions"
"SmbAudit","AuditServerDoesNotSupportEncryption","Client: AuditServerDoesNotSupportEncryption = True","Core","All","Y","Y","No effect on OSes before Windows Server 2025 / Windows 11 24H2 (reported NOT APPLICABLE there). Audit-only; nothing is blocked.","SMB client logs servers that cannot do SMB encryption (event 31998 in SmbClient/Audit). Windows Server 2025+ only.","Remote access; Network flow and sessions"
"SmbAudit","AuditServerDoesNotSupportSigning","Client: AuditServerDoesNotSupportSigning = True","Core","All","Y","Y","No effect on OSes before Windows Server 2025 / Windows 11 24H2 (reported NOT APPLICABLE there). Audit-only; nothing is blocked.","SMB client logs servers that cannot do SMB signing (event 31999 in SmbClient/Audit). Windows Server 2025+ only.","Remote access; Network flow and sessions"
"Registry","AdcsAuditFilter","AD CS AuditFilter = 127 (only applies when Certificate Services is installed; needs CertSvc restart)","Core","All","Y","Y","Takes effect only after a CertSvc service restart, which the kit never performs itself - plan a change window.","Turns on all seven AD CS audit event groups (127 = full bitmask) so certificate issuance, template changes and CA configuration changes are logged (4886-4899). REQUIRES a CertSvc service restart to take effect.","Certificates and keys"
