match_source,match_event,item_type,item_id,prereq,status,note,technique_id
WinEventLog:Microsoft-Windows-TCPIP,,,,,NotInKit,TCPIP log is outside the baseline,
WinEventLog:Microsoft-Windows-Shell-Core,,,,,NotInKit,Shell-Core log is outside the baseline,
WinEventLog:Microsoft-Windows-Kernel-Boot,,,,,NotInKit,Kernel-Boot log is outside the baseline,
WinEventLog:Microsoft-Windows-COM/Operational,,,,,NotInKit,COM/Operational log is outside the baseline,
WinEventLog:Microsoft-Windows-Backup,,,,,NotInKit,Windows Backup log is outside the baseline,
WinEventLog:Microsoft-Windows-WLAN-AutoConfig,,,,,NotInKit,WLAN-AutoConfig log is outside the baseline,
WinEventLog:Microsoft-Office-Alerts,,,,,NotInKit,"Office's own alerts log, outside the baseline",
WinEventLog:Microsoft-IIS-Configuration,,,,,NotInKit,"IIS role log, outside the baseline",
WinEventLog:iis,,,,,NotInKit,"IIS role log, outside the baseline",
wineventlog:dhcp,,,,,NotInKit,"DHCP server role log, outside the baseline",
WinEventLog:ADFS,,,,,NotInKit,"AD FS role log, outside the baseline",
windows:osquery,,,,,NotNative,"osquery, a third-party agent",
Windows Firewall Log,,,,,NotNative,"The firewall's text log (pfirewall.log), not an event log",
Network Traffic,,,,,NotNative,Network sensor data,
M365Defender:DeviceNetworkEvents,,,,,NotNative,Defender for Endpoint telemetry,
firmware:integrity ,,,,,NotNative,"Firmware integrity tooling, not host logs",
ETW,,,,,NotNative,ETW tracing,
Autoruns:RegistryScan,,,,,NotNative,"Autoruns scan output, not a log",
ApplicationLog:Intune/MDM Logs,,,,,NotNative,Intune / MDM service logs,
ApplicationLog:IIS,,,,,NotNative,"IIS W3C text logs, not an event log",
ApplicationLog:CallRecords,,,,,NotNative,Teams / telephony call records (cloud),
